iter	Passed	Remaining
0	17	17084
1	36	18177
2	52	17582
3	70	17430
4	87	17381
5	105	17455
6	123	17506
7	140	17429
8	157	17374
9	175	17380
10	192	17304
11	211	17402
12	229	17441
13	248	17497
14	265	17424
15	283	17442
16	300	17371
17	324	17723
18	342	17669
19	358	17576
20	375	17495
21	392	17441
22	410	17447
23	427	17389
24	447	17450
25	464	17396
26	479	17285
27	496	17237
28	514	17229
29	531	17185
30	547	17119
31	563	17049
32	581	17028
33	598	17007
34	614	16934
35	630	16885
36	648	16880
37	664	16811
38	681	16804
39	697	16747
40	714	16703
41	738	16855
42	764	17003
43	786	17079
44	809	17186
45	833	17290
46	856	17365
47	878	17421
48	912	17703
49	942	17914
50	967	17997
51	989	18041
52	1019	18220
53	1040	18222
54	1066	18325
55	1089	18367
56	1113	18418
57	1135	18442
58	1158	18476
59	1182	18533
60	1209	18622
61	1236	18713
62	1265	18817
63	1288	18843
64	1313	18889
65	1337	18924
66	1360	18941
67	1381	18940
68	1404	18949
69	1424	18922
70	1450	18976
71	1470	18958
72	1493	18968
73	1525	19089
74	1552	19148
75	1580	19221
76	1602	19210
77	1622	19178
78	1652	19268
79	1680	19321
80	1708	19382
81	1736	19444
82	1762	19471
83	1788	19499
84	1809	19479
85	1832	19477
86	1855	19472
87	1875	19439
88	1897	19419
89	1919	19407
90	1940	19381
91	1960	19345
92	1983	19341
93	2006	19341
94	2028	19322
95	2050	19310
96	2069	19265
97	2091	19248
98	2113	19230
99	2133	19199
100	2150	19140
101	2166	19077
102	2182	19008
103	2198	18944
104	2215	18888
105	2232	18828
106	2250	18779
107	2265	18712
108	2282	18655
109	2298	18596
110	2318	18567
111	2334	18511
112	2351	18454
113	2365	18387
114	2382	18337
115	2399	18282
116	2415	18231
117	2432	18178
118	2447	18119
119	2464	18076
120	2481	18025
121	2496	17965
122	2512	17913
123	2528	17864
124	2546	17823
125	2563	17779
126	2579	17729
127	2595	17681
128	2612	17636
129	2629	17594
130	2644	17545
131	2660	17497
132	2675	17443
133	2689	17381
134	2707	17348
135	2724	17307
136	2740	17263
137	2758	17228
138	2774	17188
139	2789	17137
140	2805	17090
141	2821	17046
142	2836	17000
143	2851	16951
144	2865	16898
145	2881	16857
146	2899	16825
147	2914	16777
148	2931	16744
149	2948	16705
150	2963	16663
151	2979	16624
152	2995	16581
153	3011	16541
154	3026	16499
155	3041	16457
156	3057	16418
157	3074	16384
158	3090	16347
159	3105	16303
160	3122	16270
161	3136	16227
162	3153	16194
163	3175	16188
164	3191	16150
165	3207	16116
166	3224	16086
167	3242	16059
168	3260	16033
169	3277	16002
170	3291	15957
171	3309	15930
172	3326	15902
173	3343	15873
174	3361	15847
175	3376	15808
176	3392	15774
177	3408	15741
178	3423	15701
179	3438	15665
180	3455	15634
181	3473	15611
182	3490	15582
183	3506	15552
184	3524	15524
185	3540	15495
186	3558	15469
187	3573	15433
188	3590	15408
189	3606	15376
190	3622	15343
191	3640	15318
192	3654	15279
193	3669	15246
194	3688	15225
195	3704	15197
196	3721	15168
197	3739	15145
198	3754	15113
199	3772	15088
200	3789	15064
201	3804	15028
202	3819	14996
203	3835	14966
204	3850	14931
205	3866	14901
206	3882	14873
207	3897	14839
208	3914	14813
209	3931	14790
210	3947	14762
211	3963	14731
212	3976	14692
213	3995	14673
214	4012	14650
215	4029	14624
216	4045	14597
217	4062	14573
218	4079	14547
219	4096	14522
220	4112	14497
221	4130	14473
222	4146	14448
223	4164	14425
224	4180	14399
225	4197	14374
226	4213	14348
227	4230	14325
228	4247	14301
229	4264	14277
230	4279	14247
231	4297	14226
232	4315	14207
233	4333	14184
234	4347	14152
235	4364	14130
236	4382	14107
237	4397	14080
238	4415	14060
239	4432	14037
240	4450	14015
241	4467	13994
242	4485	13972
243	4502	13949
244	4519	13927
245	4535	13901
246	4551	13874
247	4569	13854
248	4586	13832
249	4601	13804
250	4616	13776
251	4633	13752
252	4648	13725
253	4665	13702
254	4681	13677
255	4698	13653
256	4713	13627
257	4731	13609
258	4749	13588
259	4763	13557
260	4781	13539
261	4799	13518
262	4814	13490
263	4829	13465
264	4844	13436
265	4860	13412
266	4877	13390
267	4891	13360
268	4908	13338
269	4926	13320
270	4944	13300
271	4961	13278
272	4978	13258
273	4997	13240
274	5013	13216
275	5028	13191
276	5045	13169
277	5062	13146
278	5079	13125
279	5095	13101
280	5112	13081
281	5129	13059
282	5145	13036
283	5159	13007
284	5175	12983
285	5190	12958
286	5206	12933
287	5222	12912
288	5237	12884
289	5252	12860
290	5269	12838
291	5286	12817
292	5305	12801
293	5320	12777
294	5336	12752
295	5353	12732
296	5370	12711
297	5386	12689
298	5402	12665
299	5419	12644
300	5436	12623
301	5451	12600
302	5468	12578
303	5483	12555
304	5500	12533
305	5517	12514
306	5534	12492
307	5550	12470
308	5567	12449
309	5583	12427
310	5600	12407
311	5618	12388
312	5634	12366
313	5652	12348
314	5669	12329
315	5686	12308
316	5704	12291
317	5722	12273
318	5740	12254
319	5756	12232
320	5772	12210
321	5788	12188
322	5806	12169
323	5821	12145
324	5836	12121
325	5851	12097
326	5868	12077
327	5882	12052
328	5899	12032
329	5916	12012
330	5934	11994
331	5951	11973
332	5966	11951
333	5982	11930
334	5999	11908
335	6015	11888
336	6032	11867
337	6048	11845
338	6064	11825
339	6082	11806
340	6098	11786
341	6116	11767
342	6133	11749
343	6150	11728
344	6167	11709
345	6183	11688
346	6200	11668
347	6215	11645
348	6231	11624
349	6247	11602
350	6263	11582
351	6282	11564
352	6299	11545
353	6315	11525
354	6330	11501
355	6347	11482
356	6362	11460
357	6376	11434
358	6392	11413
359	6408	11392
360	6424	11371
361	6438	11347
362	6453	11325
363	6473	11310
364	6489	11290
365	6505	11269
366	6520	11246
367	6537	11227
368	6553	11206
369	6570	11188
370	6588	11170
371	6606	11152
372	6622	11132
373	6639	11113
374	6656	11093
375	6672	11073
376	6690	11055
377	6707	11037
378	6724	11019
379	6741	10999
380	6756	10977
381	6773	10958
382	6791	10940
383	6807	10920
384	6823	10899
385	6840	10880
386	6857	10862
387	6874	10843
388	6892	10825
389	6907	10804
390	6925	10786
391	6941	10765
392	6956	10744
393	6972	10724
394	6988	10704
395	7005	10684
396	7021	10664
397	7037	10645
398	7055	10626
399	7071	10606
400	7087	10586
401	7105	10569
402	7120	10548
403	7137	10529
404	7153	10510
